loss,accuracy,group,training_group
0.0021562727633863688,1.0,0,0
0.008729270659387112,1.0,0,1
3.0033793449401855,0.8,1,1
0.10593725740909576,1.0,0,2
1.2083919048309326,0.8,1,2
0.8162575960159302,0.6,2,2
0.5048955082893372,0.8,0,3
1.6175298690795898,0.4,1,3
1.315237283706665,0.6,2,3
0.035560742020606995,1.0,3,3
0.3044356405735016,1.0,0,4
0.9450071454048157,0.8,1,4
1.1844334602355957,0.8,2,4
0.363416850566864,1.0,3,4
1.1450421810150146,0.6,4,4
0.06254203617572784,1.0,0,5
0.7932559251785278,0.8,1,5
0.9960443377494812,0.6,2,5
0.5934013724327087,0.8,3,5
1.6843593120574951,0.8,4,5
0.23889677226543427,1.0,5,5
0.031632788479328156,1.0,0,6
0.4777921140193939,1.0,1,6
1.192618727684021,0.8,2,6
1.949486494064331,0.6,3,6
2.772251844406128,0.0,4,6
1.469712734222412,0.6,5,6
0.8786612749099731,0.6,6,6
0.0905371755361557,1.0,0,7
1.0134828090667725,0.4,1,7
1.8259702920913696,0.2,2,7
2.4152979850769043,0.4,3,7
2.7821364402770996,0.0,4,7
2.4866433143615723,0.2,5,7
2.027341604232788,0.6,6,7
0.15344421565532684,1.0,7,7
0.014579614624381065,1.0,0,8
0.705879807472229,0.8,1,8
1.4909336566925049,0.6,2,8
1.8153972625732422,0.6,3,8
4.038168430328369,0.0,4,8
2.102111339569092,0.6,5,8
3.024702310562134,0.4,6,8
0.12684909999370575,1.0,7,8
0.7550175189971924,0.8,8,8
0.10974959284067154,1.0,0,9
1.2110004425048828,0.6,1,9
1.2944501638412476,0.6,2,9
2.4642133712768555,0.6,3,9
4.968869209289551,0.0,4,9
2.840548276901245,0.4,5,9
3.148651123046875,0.4,6,9
0.4519675672054291,1.0,7,9
2.128948926925659,0.6,8,9
0.5924985408782959,0.8,9,9
