loss,accuracy,group,training_group
0.0020850677974522114,1.0,0,0
0.00804285891354084,1.0,0,1
3.0092616081237793,0.8,1,1
0.05205514281988144,1.0,0,2
1.009118676185608,0.8,1,2
0.7370621562004089,0.6,2,2
0.06444182246923447,1.0,0,3
0.8252712488174438,0.6,1,3
0.9737545847892761,0.6,2,3
0.03322383388876915,1.0,3,3
0.12768127024173737,1.0,0,4
0.613179087638855,0.6,1,4
0.9879684448242188,0.8,2,4
1.657400131225586,0.6,3,4
0.9287835359573364,0.6,4,4
0.07380952686071396,1.0,0,5
0.6053320169448853,0.8,1,5
0.8441251516342163,0.6,2,5
0.9965359568595886,0.8,3,5
0.9697905778884888,0.8,4,5
0.2142704725265503,1.0,5,5
0.10660576820373535,1.0,0,6
0.5948399305343628,0.8,1,6
0.609679102897644,1.0,2,6
0.6706988215446472,0.8,3,6
1.3296167850494385,0.6,4,6
1.709154486656189,0.6,5,6
1.2857574224472046,0.4,6,6
0.25101739168167114,0.8,0,7
0.505970299243927,1.0,1,7
0.48711782693862915,0.8,2,7
0.7994393110275269,0.8,3,7
1.3153300285339355,0.8,4,7
2.350876569747925,0.2,5,7
2.337306499481201,0.4,6,7
0.0968717485666275,1.0,7,7
0.029363691806793213,1.0,0,8
0.34430164098739624,1.0,1,8
0.7325035333633423,0.8,2,8
0.359140545129776,1.0,3,8
0.9220210313796997,0.6,4,8
1.027158498764038,0.8,5,8
3.2436013221740723,0.4,6,8
0.41942262649536133,0.8,7,8
0.7516053915023804,0.8,8,8
0.02492251619696617,1.0,0,9
0.4357462525367737,0.8,1,9
0.4033614993095398,1.0,2,9
0.9547733068466187,0.6,3,9
2.2929158210754395,0.2,4,9
1.8283780813217163,0.6,5,9
2.5428197383880615,0.4,6,9
0.5068055391311646,1.0,7,9
2.126394748687744,0.6,8,9
0.22026947140693665,1.0,9,9
